,Iteration,BACKPROP_train,RHC_train,SA0.15_train,SA0.35_train,SA0.55_train,SA0.7_train,SA0.95_train,GA_50_20_20_train,GA_50_20_10_train,GA_50_10_20_train,GA_50_10_10_train,BACKPROP_test,RHC_test,SA0.15_test,SA0.35_test,SA0.55_test,SA0.7_test,SA0.95_test,GA_50_20_20_test,GA_50_20_10_test,GA_50_10_20_test,GA_50_10_10_test,BACKPROP_time,RHC_time,SA0.15_time,SA0.35_time,SA0.55_time,SA0.7_time,SA0.95_time,GA_50_20_20_time,GA_50_20_10_time,GA_50_10_20_time,GA_50_10_10_time
41,410,94.7973255328,42.4049310489,72.6807354785,60.0814876724,35.9486000836,46.991224404499995,25.0522356874,76.2223150857,76.18052653569998,75.63727538650001,76.9536147096,81.5558588419,43.829206473000006,72.197309417,59.797231429099995,35.9914213297,48.372002339599995,24.917137843600003,76.23318385649999,76.1551959446,74.2054981478,77.2275297329,309.904225875,110.02056756100001,114.030820728,88.777555526,110.57406532600001,109.413110567,111.56897666200001,2708.5757946999997,2628.1816427,2314.36667941,1763.98738561
42,420,94.8495612202,42.5407438362,72.88967822820001,60.520267446700004,36.282908483099995,47.5031341412,24.989552862500002,76.23276222319998,76.13873798579999,75.2611784371,76.68198913500001,81.6533437317,44.121661142499995,72.1388184831,60.1481770326,36.3618639111,48.8204328329,24.819652953800002,76.2526808345,76.1162019887,74.1470072139,76.7790992396,317.294691347,112.691643614,116.706328288,90.95856582299999,113.17119148200001,112.04236188200001,114.195435675,2772.57746636,2691.12979001,2370.13197622,1805.72560779
43,430,94.9017969076,42.9272879231,73.1090681153,60.7083159214,36.5754283326,48.3493522775,25.2611784371,76.2223150857,76.1178437108,75.45967404929999,76.96406184710001,81.5948527978,44.5895886138,72.4897640866,60.3041528563,36.7518034705,49.678299863499994,24.819652953800002,76.23318385649999,76.1356989667,74.1470072139,77.2275297329,324.628887378,115.38873363200001,119.423138741,93.10523593799999,115.784803785,114.69174133700001,116.88003308299999,2839.9731175,2756.537363,2427.1794130999997,1843.90912439
44,440,94.9331383201,44.5674885081,73.23443376510001,61.157542833300006,38.8006686168,49.1328875888,25.167154199700004,76.23276222319998,76.1178437108,75.88800668619999,77.5073129962,81.41937999609999,45.993371027500004,72.6067459544,60.557613569900006,39.3254045623,50.6531487619,24.917137843600003,76.2526808345,76.1356989667,74.7904074868,77.5394813804,331.947911174,118.09439055200001,122.084159657,95.273787175,118.391856345,117.35516180299999,119.50363889200001,2905.90103718,2822.83706423,2486.42274735,1886.0935760000002
45,450,95.00626828249999,44.4003343084,73.2448809026,62.1709151692,39.4170497284,52.778938570799994,25.1149185123,76.2223150857,76.0760551609,75.4283326369,77.0580860844,81.5558588419,45.9543770716,72.7627217781,61.5129654903,39.8518229674,53.675180346999994,24.8001559758,76.2721778124,76.05771105480001,74.2834860597,77.130044843,339.228129,120.735104641,124.766503746,97.456567595,120.974269395,120.037292924,122.165593372,2971.51973369,2888.83297261,2545.99527895,1930.32209935
46,460,94.97492687,46.907647304600005,73.89260342669999,62.547012118699996,39.7931466778,52.8207271208,25.2611784371,76.2223150857,76.10739657330001,74.98955286249999,76.96406184710001,81.5168648859,48.469487229500004,73.25014622730001,61.746929226000006,40.124780659,53.6556833691,24.8781438877,76.23318385649999,76.19418990060001,73.9325404562,76.8570871515,346.54005406699997,123.421949529,127.454495533,99.618256775,123.578114291,122.771812272,124.820551596,3037.87116253,2953.6088015,2604.488412,1968.84356214
47,470,94.995821145,47.325532804,73.99707480149999,62.8708733807,40.3259506895,52.9565399081,24.8746343502,76.2223150857,76.06560802339999,74.63435018800001,76.4939406603,81.4388769741,48.8789237668,73.2891401833,61.883408071699996,40.6901930201,53.8116591928,24.468707350400003,76.3111717684,76.1356989667,73.60109183079999,76.3111717684,353.86726113300006,126.07541733299999,130.112356922,101.791557515,126.212370381,125.66290115299999,127.476099497,3104.70776983,3018.53540253,2659.49951006,2006.7779452
48,480,95.0271625575,47.2732971166,74.5194316757,64.5215211032,41.2348516506,53.2490597576,24.655244463000002,76.21186794820001,76.0447137484,74.7806101128,76.66109486,81.30239812829998,48.8204328329,73.60109183079999,63.794111912700004,41.6260479626,53.9481380386,24.176252680799998,76.2721778124,76.05771105480001,73.65958276469999,76.9545720413,361.17018132699997,128.778215943,132.848863738,103.970955595,128.8352184,128.30449337299999,130.155759593,3168.30578069,3083.46894217,2716.13502998,2049.19185919
49,490,95.0376096949,47.5971583786,74.2060175512,65.5557877142,41.6631842875,53.468449644799996,24.697033013,76.2223150857,76.06560802339999,75.36564981199999,76.9013790221,81.4388769741,48.78143887699999,73.62058880869999,65.0029245467,42.4059270813,54.06511990640001,24.2347436147,76.2721778124,76.1356989667,74.3809709495,76.89608110740001,368.46950329099997,131.43259689299998,135.612117145,106.133130521,131.399912707,131.072201268,132.811917229,3235.02167648,3145.42599403,2773.10303294,2092.57528149
50,500,95.0585039699,48.129962390299994,74.64479732550001,65.58712912659999,42.1646468868,53.81320518180001,24.603008775600003,76.2223150857,76.06560802339999,75.4074383619,77.0580860844,81.497367908,49.463833105899994,73.83505556640002,64.9249366348,42.6398908169,54.3575745759,24.1567557029,76.2526808345,76.1162019887,74.2054981478,77.14954182100001,375.872092323,134.246867725,138.359100295,108.304609354,134.03964145,133.721313051,135.446205774,3299.97496274,3208.23921163,2830.74570735,2134.65054584
51,510,95.0793982449,48.7776849143,74.7597158379,66.1408274133,43.4705390723,54.032595069,24.5507730882,76.23276222319998,76.00292519850001,74.2895946511,76.8282490598,81.5168648859,49.990251511000004,74.0105283681,65.5488399298,43.6342366933,54.49405342170001,24.000779879099998,76.2526808345,76.05771105480001,73.38662507309999,76.9545720413,383.28790295,136.950397141,141.069743757,110.478852409,136.672017284,136.296191225,138.118161417,3364.70477697,3271.77331557,2887.17789351,2174.9768991
